id,form,section,test_type,subscale,type,text_en,text_tr,options_en,options_tr,reverse_scored,display_order,notes
F2_BIG5_01,Form2_Kisilik,Mizac,BIG_FIVE,Openness,Likert5,I am open to new ideas and experiences,Yeni fikirlere ve deneyimlere açığımdır,,,,1,
F2_BIG5_02,Form2_Kisilik,Mizac,BIG_FIVE,Conscientiousness,Likert5,I pay attention to details and am organized,Detaylara dikkat eder planlı ve organize biriyimdir,,,,2,
F2_BIG5_03,Form2_Kisilik,Mizac,BIG_FIVE,Extraversion,Likert5,I am energetic and talkative in social settings,Sosyal ortamlarda enerjik ve konuşkanımdır,,,,3,
F2_BIG5_04,Form2_Kisilik,Mizac,BIG_FIVE,Agreeableness,Likert5,I am generally sensitive and helpful to others' feelings,Genellikle başkalarının duygularına karşı duyarlı ve yardımseverimdir,,,,4,
F2_BIG5_05,Form2_Kisilik,Mizac,BIG_FIVE,Neuroticism,Likert5,I easily worry or get stressed,Kolayca endişelenir veya strese girerim,,,,5,
F2_BIG5_06,Form2_Kisilik,Mizac,BIG_FIVE,Openness,Likert5,I prefer traditional and conventional methods,Geleneksel ve alışılmış yöntemleri tercih ederim,,,true,6,
F2_BIG5_07,Form2_Kisilik,Mizac,BIG_FIVE,Conscientiousness,Likert5,I often procrastinate and work in a disorganized manner,İşlerimi sık sık erteler dağınık çalışırım,,,true,7,
F2_BIG5_08,Form2_Kisilik,Mizac,BIG_FIVE,Extraversion,Likert5,I feel exhausted after crowded social settings,Kalabalık sosyal ortamlardan sonra kendimi tükenmiş hissederim,,,true,8,
F2_BIG5_09,Form2_Kisilik,Mizac,BIG_FIVE,Agreeableness,Likert5,I tend to prioritize my own interests over others,Kendi çıkarlarımı başkalarınınkinden önde tutmaya eğilimliyimdir,,,true,9,
F2_BIG5_10,Form2_Kisilik,Mizac,BIG_FIVE,Neuroticism,Likert5,I am generally calm and emotionally balanced,Genellikle sakin ve duygusal olarak dengeliyimdir,,,true,10,
F2_MBTI_01,Form2_Kisilik,BiliselTercih,MBTI,E_I,SingleChoice,How do you recharge after an intense week?,Yoğun bir haftanın ardından kendinizi nasıl şarj edersiniz?,"A) I gain energy by meeting with friends or attending social events|B) I gain energy by being alone reading or thinking in a quiet environment","A) Arkadaşlarımla buluşarak veya sosyal bir etkinliğe katılarak enerji toplarım|B) Yalnız kalarak kitap okuyarak veya sessiz bir ortamda düşünerek enerji toplarım",,11,
F2_MBTI_02,Form2_Kisilik,BiliselTercih,MBTI,E_I,SingleChoice,At a social event or party you usually...,Bir sosyal etkinlikte veya partide genellikle...,"A) Chat with many different people and be at the center|B) Prefer deep and meaningful conversations with one or two people","A) Birçok farklı insanla sohbet eder ortamın merkezinde yer alırım|B) Bir veya iki kişiyle derin ve anlamlı bir sohbet kurmayı tercih ederim",,12,
F2_MBTI_03,Form2_Kisilik,BiliselTercih,MBTI,E_I,SingleChoice,When working on a project...,Bir proje üzerinde çalışırken...,"A) I like developing ideas by discussing and brainstorming with a group|B) I prefer thinking on my own first and clarifying my ideas","A) Fikirlerimi bir grupla tartışarak ve beyin fırtınası yaparak geliştirmeyi severim|B) Önce kendi başıma düşünüp fikirlerimi netleştirmeyi tercih ederim",,13,
F2_MBTI_04,Form2_Kisilik,BiliselTercih,MBTI,E_I,SingleChoice,How does being the center of attention make you feel?,İlgi odağı olmak sizi nasıl hissettirir?,"A) I usually don't feel uncomfortable sometimes even enjoy it|B) It makes me feel tense and uncomfortable I usually avoid it","A) Genellikle rahatsız olmam hatta bazen bundan keyif alabilirim|B) Beni gergin ve rahatsız hissettirir genellikle bundan kaçınırım",,14,
F2_MBTI_05,Form2_Kisilik,BiliselTercih,MBTI,E_I,SingleChoice,Your attitude towards people you just met?,Yeni tanıştığınız insanlara karşı tavrınız nasıldır?,"A) I usually start the conversation and easily share information about myself|B) I usually wait for others to ask questions and remain more in listener position","A) Genellikle konuşmayı ben başlatırım ve kendim hakkında kolayca bilgi paylaşırım|B) Genellikle karşımdakinin soru sormasını bekler daha çok dinleyici konumunda kalırım",,15,
F2_MBTI_06,Form2_Kisilik,BiliselTercih,MBTI,S_N,SingleChoice,When learning something new which do you prefer?,Yeni bir şey öğrenirken hangisini tercih edersiniz?,"A) Focusing on concrete facts practical applications and clear step-by-step instructions|B) Focusing on theoretical background big picture and understanding connections between ideas","A) Somut gerçeklere pratik uygulamalara ve adım adım ilerleyen net talimatlara odaklanmayı|B) Teorik altyapıya büyük resme ve fikirler arasındaki bağlantıları anlamaya odaklanmayı",,16,
F2_MBTI_07,Form2_Kisilik,BiliselTercih,MBTI,S_N,SingleChoice,When telling someone about an event...,Bir olayı birine anlatırken...,"A) I tend to convey specific details who said what and what happened as is|B) I tend to tell the impression meaning and underlying dynamics","A) Olayın spesifik detaylarını kimin ne dediğini ve ne olduğunu olduğu gibi aktarmaya eğilimliyimdir|B) Olayın bende bıraktığı izlenimi anlamını ve altında yatan dinamikleri anlatmaya eğilimliyimdir",,17,
F2_MBTI_08,Form2_Kisilik,BiliselTercih,MBTI,S_N,SingleChoice,What is your problem-solving approach?,Problem çözerken yaklaşımınız nedir?,"A) I find realistic and applicable solutions using existing proven methods|B) I look for innovative and unusual solutions by thinking about possibilities","A) Mevcut ve kanıtlanmış yöntemleri kullanarak gerçekçi ve uygulanabilir çözümler bulurum|B) Olasılıkları ve yeni olasılıkları düşünerek yenilikçi ve alışılmadık çözümler ararım",,18,
F2_MBTI_09,Form2_Kisilik,BiliselTercih,MBTI,S_N,SingleChoice,Which appeals to you more?,Hangisi size daha çok hitap eder?,"A) Mastery lies in the details|B) Imagination is more important than knowledge","A) Ayrıntılarda ustalık gizlidir|B) Hayal gücü bilgiden daha önemlidir",,19,
F2_MBTI_10,Form2_Kisilik,BiliselTercih,MBTI,S_N,SingleChoice,What you generally pay more attention to...,Genel olarak daha çok dikkat ettiğiniz şey...,"A) Concrete facts I see hear and touch|B) My intuitions instincts and possibilities of where events might lead","A) Gördüğüm duyduğum dokunduğum somut gerçeklerdir|B) Sezgilerim içgüdülerim ve olayların gelecekte nereye varabileceğine dair olasılıklardır",,20,
F2_MBTI_11,Form2_Kisilik,BiliselTercih,MBTI,T_F,SingleChoice,What weighs more when making an important decision?,Önemli bir karar verirken ağır basan taraf nedir?,"A) Logical analysis objective criteria and consistency|B) How the decision will affect people my personal values and overall harmony","A) Mantıksal analiz objektif kriterler ve tutarlılık|B) Kararın insanları nasıl etkileyeceği kişisel değerlerim ve genel uyum",,21,
F2_MBTI_12,Form2_Kisilik,BiliselTercih,MBTI,T_F,SingleChoice,Your first reaction when a friend tells their troubles?,Bir arkadaşınız derdini anlattığında ilk tepkiniz ne olur?,"A) Trying to analyze the problem and offer logical solutions|B) Making them feel understood and giving emotional support and comfort","A) Sorunu analiz edip mantıklı çözüm yolları sunmaya çalışmak|B) Onu anladığımı hissettirip duygusal destek ve teselli vermek",,22,
F2_MBTI_13,Form2_Kisilik,BiliselTercih,MBTI,T_F,SingleChoice,Which would be a bigger compliment if said to you?,Size söylense hangisi daha büyük bir iltifat olurdu?,"A) You are a very logical and fair person|B) You are a very compassionate and understanding person","A) Sen çok mantıklı ve adil bir insansın|B) Sen çok şefkatli ve anlayışlı bir insansın",,23,
F2_MBTI_14,Form2_Kisilik,BiliselTercih,MBTI,T_F,SingleChoice,When you need to give criticism...,Bir eleştiri yapmanız gerektiğinde...,"A) I prefer to tell the truth as it is for the sake of being correct and honest|B) I choose my words carefully and use more diplomatic language to not hurt others","A) Doğru ve dürüst olmak adına gerçeği olduğu gibi söylemeyi tercih ederim|B) Karşımdakini kırmamak için sözlerimi dikkatle seçer ve daha diplomatik bir dil kullanırım",,24,
F2_MBTI_15,Form2_Kisilik,BiliselTercih,MBTI,T_F,SingleChoice,When a decision needs to be made for the good of a group...,Bir grubun iyiliği için bir karar alınması gerektiğinde...,"A) I focus on the most correct and effective outcome even if some people are not happy|B) I focus on making everyone feel heard and valued maintaining harmony","A) En doğru ve etkili sonucun ne olduğuna odaklanırım bazı kişiler bundan hoşnut olmasa bile|B) Gruptaki herkesin kendini duyulmuş ve değerli hissetmesini sağlamaya uyumu korumaya odaklanırım",,25,
F2_MBTI_16,Form2_Kisilik,BiliselTercih,MBTI,J_P,SingleChoice,What are your weekend plans usually like?,Hafta sonu planlarınız genellikle nasıldır?,"A) I usually decide beforehand and like to stick to a plan|B) I avoid making plans preferring to be spontaneous","A) Genellikle ne yapacağıma önceden karar veririm ve bir plana sadık kalmayı severim|B) Plan yapmaktan kaçınır o an canım ne isterse onu yapmayı ve spontane olmayı tercih ederim",,26,
F2_MBTI_17,Form2_Kisilik,BiliselTercih,MBTI,J_P,SingleChoice,How do you feel better when doing a job?,Bir işi yaparken kendinizi nasıl daha iyi hissedersiniz?,"A) When I complete the job and cross another item off my list|B) When options are still open and I have flexibility to change the course","A) İşi tamamlayıp listemden bir maddeyi daha çizdiğimde|B) Henüz seçenekler açıkken ve işin gidişatını değiştirebilecek esnekliğe sahipken",,27,
F2_MBTI_18,Form2_Kisilik,BiliselTercih,MBTI,J_P,SingleChoice,Which word describes you better?,Sizi daha iyi tanımlayan kelime hangisi?,"A) Organized|B) Flexible","A) Düzenli|B) Esnek",,28,
F2_MBTI_19,Form2_Kisilik,BiliselTercih,MBTI,J_P,SingleChoice,What do you think about deadlines?,Son teslim tarihleri (deadline) hakkında ne düşünürsünüz?,"A) They are useful and motivating tools that help me finish work on time|B) They are unnecessary sources of stress that restrict creativity and flexibility","A) İşleri zamanında bitirmemi sağlayan faydalı ve motive edici araçlardır|B) Yaratıcılığı ve esnekliği kısıtlayan gereksiz birer stres kaynağıdır",,29,
F2_MBTI_20,Form2_Kisilik,BiliselTercih,MBTI,J_P,SingleChoice,When going on a trip...,Bir seyahate çıkarken...,"A) I like to plan and organize places hotel and activities in advance|B) I just set a general route leaving details to flow during the journey","A) Gideceğim yerleri kalacağım oteli ve yapacağım aktiviteleri önceden planlamayı ve organize etmeyi severim|B) Sadece genel bir rota belirler geri kalan detayları yolculuk sırasında akışına bırakırım",,30,
F2_VALUES,Form2_Kisilik,Motivasyon,VALUES,,Ranking,Rank these values from most to least important to you (1=most 10=least),Bu değerleri sizin için en önemliden en az önemliye doğru sıralayınız (1=en önemli 10=en az önemli),"Achievement|Power|Excitement|Self-direction|Benevolence|Universalism|Security|Tradition|Conformity|Hedonism","Başarı|Güç|Heyecan|Özyönelim|İyilikseverlik|Evrenselcilik|Güvenlik|Gelenek|Uyum|Hazcılık",,31,